abs,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/abs_kernel.cc,furnace,2022-05-12
abs_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/abs_kernel.cc,Kai Song,2022-12-22
accuracy,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/accuracy_kernel.cc,Aganlengzi,2022-03-31
adadelta,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/adadelta_kernel.cc,Kai Song,2023-06-29
adagrad,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/adagrad_kernel.cc,Kai Song,2022-12-02
adam,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/adam_kernel.cc,ronnywang,2022-03-30
adamw,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/adam_kernel.cc,Aganlengzi,2022-06-20
add,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/elementwise_add_kernel.cc,furnace,2022-05-25
add_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/elementwise_add_kernel.cc,furnace,2022-05-25
add_n,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/add_n_kernel.cc,furnace,2022-06-07
add_raw,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/elementwise_add_kernel.cc,furnace,2022-05-25
all,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/reduce_all_kernel.cc,Kai Song,2022-12-22
all_raw,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/reduce_all_kernel.cc,Kai Song,2022-12-22
any,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/reduce_any_kernel.cc,USTCKAY,2022-09-02
arange,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/arange_kernel.cc,Kai Song,2023-11-01
arange_tensor,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/arange_kernel.cc,furnace,2022-05-26
argmax,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/arg_min_max_kernel.cc,Aganlengzi,2022-07-06
argmin,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/arg_min_max_kernel.cc,Aganlengzi,2022-07-06
argsort,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/argsort_kernel.cc,Aganlengzi,2022-03-31
argsort_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/argsort_grad_kernel.cc,duanyanhui,2022-09-05
as_strided,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/strided_copy_kernel.cc,will-core,2024-03-25
assign,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/assign_kernel.cc,Aganlengzi,2022-07-06
assign_array,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/assign_kernel.cc,Aganlengzi,2022-07-06
assign_raw,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/assign_kernel.cc,Aganlengzi,2022-07-06
assign_value,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/assign_kernel.cc,Aganlengzi,2022-07-06
atan,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/activation_kernel.cc,Aganlengzi,2022-07-06
atan_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/activation_kernel.cc,Aganlengzi,2022-07-06
batch_norm,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/batch_norm_kernel.cc,Aganlengzi,2022-03-31
batch_norm_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/batch_norm_kernel.cc,Aganlengzi,2022-03-31
batch_norm_infer,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/batch_norm_kernel.cc,Aganlengzi,2022-03-31
bce_loss,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/bce_loss_kernel.cc,furnace,2022-05-25
bce_loss_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/bce_loss_kernel.cc,furnace,2022-05-25
bilinear_interp,https://github.com/PaddlePaddle/PaddleCustomDevice/tree/develop/backends/npu/kernels/interpolate_kernel.cc,duanyanhui,2022-08-25
