min_raw,fwenguang,2022-09-07
minimum,fwenguang,2022-09-07
minimum_grad,fwenguang,2022-09-07
minimum_raw,fwenguang,2022-09-07
momentum,Chenxiao Niu,Niu
multinomial,Ivorfeng,2023-08-24
multiply,fwenguang,2022-09-07
multiply_grad,fwenguang,2022-09-07
multiply_raw,fwenguang,2022-09-07
name,YuhangLi,2023-04-25
name##_raw,YuhangLi,2023-04-25
nearest_interp,fwenguang,2022-09-19
nearest_interp_grad,fwenguang,2022-09-19
nonzero,cifar10,(cifar10
numel,Lux et Veritas,(Lux
one_hot,Chenxiao Niu,Niu
one_hot_raw,Chenxiao Niu,Niu
p_norm,Chenxiao Niu,Niu
p_norm_grad,Chenxiao Niu,Niu
pool2d,Chenxiao Niu,Niu
pool2d_grad,Chenxiao Niu,Niu
pow,Yingli Liu,Liu
pow_grad,Yingli Liu,Liu
print_kernel,Chenxiao Niu,Niu
prior_box,cifar10,2022-09-30
prod,fwenguang,(fwenguang
prod_infer,fwenguang,(fwenguang
randperm,Chenxiao Niu,Niu
reciprocal,fwenguang,2022-09-02
reciprocal_grad,fwenguang,2022-09-02
relu,fwenguang,2022-09-02
relu6,fwenguang,2022-09-02
relu6_grad,fwenguang,2022-09-02
relu_grad,fwenguang,2022-09-02
rnn,Lux et Veritas,et
rnn_grad,Chenxiao Niu,Niu
roi_align,Lux et Veritas,et
roi_align_grad,Lux et Veritas,et
roll,PeiyuLau,2024-02-22
roll_grad,PeiyuLau,2024-02-22
round,Chenxiao Niu,Niu
round_grad,Chenxiao Niu,Niu
rsqrt,fwenguang,2022-09-02
rsqrt_grad,cifar10,2023-06-16
scale,Lux et Veritas,et
scatter,Lux et Veritas,et
scatter_nd_add,Yingli Liu,Liu
set_value,Lux et Veritas,et
set_value_with_tensor,cifar10,2023-04-06
sgd,Chenxiao Niu,Niu
sigmoid,Yingli Liu,Liu
sigmoid_cross_entropy_with_logits,Lux et Veritas,et
sigmoid_cross_entropy_with_logits_grad,Lux et Veritas,et
sigmoid_grad,Yingli Liu,Liu
silu,Yingli Liu,Liu
silu_grad,Yingli Liu,Liu
sin,fwenguang,2022-09-02
sin_grad,PeiyuLau,2023-06-16
slice,Lux et Veritas,et
slice_grad,Lux et Veritas,et
softmax,fwenguang,2022-08-31
softmax_grad,fwenguang,2022-08-31
split,Chenxiao Niu,Niu
split_with_num,Chenxiao Niu,Niu
sqrt,fwenguang,2022-09-02
