index_put_grad,xuanyuanminzheng,2024-01-30
index_sample,USTCKAY,2022-08-16
index_sample_grad,USTCKAY,2022-08-16
index_select,Aganlengzi,2022-06-20
index_select_grad,Aganlengzi,2022-06-20
inverse,Kai Song,Song
is_empty,USTCKAY,2022-08-15
isfinite,Kai Song,Song
isinf,Kai Song,Song
isnan,Kai Song,Song
kldiv_loss,USTCKAY,2022-08-22
kldiv_loss_grad,USTCKAY,2022-08-22
label_smooth,USTCKAY,2022-08-16
label_smooth_grad,USTCKAY,2022-08-16
layer_norm,Aganlengzi,2022-06-20
layer_norm_grad,Aganlengzi,2022-06-20
leaky_relu,Aganlengzi,2022-07-13
leaky_relu_grad,furnace,2022-05-12
linspace,Kai Song,Song
log,Aganlengzi,2022-06-23
log2,Kai Song,Song
log2_grad,Kai Song,Song
log_grad,Aganlengzi,2022-06-23
log_loss,Aganlengzi,2022-06-10
log_loss_grad,shentanyue,2022-11-09
log_softmax,furnace,2022-06-07
log_softmax_grad,furnace,2022-06-07
logical_and,Yunpeng Bai,Bai
logical_not,Yunpeng Bai,Bai
logical_or,Yunpeng Bai,Bai
logsigmoid,lijinxin6,2024-04-11
logsigmoid_grad,lijinxin6,2024-04-11
masked_multihead_attention,ronnywang,2024-05-15
masked_select,USTCKAY,2022-09-01
masked_select_grad,USTCKAY,2022-09-01
matmul,Aganlengzi,(Aganlengzi
matmul_grad,Aganlengzi,(Aganlengzi
max,ronnywang,(ronnywang
max_grad,Aganlengzi,2022-06-23
max_raw,ronnywang,(ronnywang
maximum,furnace,2022-05-25
maximum_grad,furnace,2022-05-25
maximum_raw,furnace,2022-05-25
mean,Kai Song,Song
mean_all,Aganlengzi,(Aganlengzi
mean_all_grad,Aganlengzi,2022-04-15
mean_grad,Kai Song,Song
mean_raw,ronnywang,(ronnywang
memcpy,duanyanhui,2022-09-09
memcpy_d2h,duanyanhui,2022-09-09
memcpy_d2h_multi_io,duanyanhui,2022-09-09
memcpy_h2d,duanyanhui,2022-09-09
merged_momentum,duanyanhui,2022-09-05
meshgrid,furnace,2022-05-26
min,ronnywang,(ronnywang
min_grad,will-jl944,2024-11-18
min_raw,ronnywang,(ronnywang
minimum,furnace,2022-05-25
minimum_grad,furnace,2022-05-25
minimum_raw,furnace,2022-05-25
mish,Kai Song,Song
mish_grad,Kai Song,Song
momentum,ronnywang,(ronnywang
multinomial,Aganlengzi,2022-06-23
multiply,furnace,2022-05-25
multiply_grad,furnace,2022-05-25
multiply_raw,furnace,2022-05-25
name,YuhangLi,2023-04-23
name##_raw,YuhangLi,2023-04-23
nearest_interp,furnace,2022-05-26
nearest_interp_grad,furnace,2022-05-26
nll_loss,xuanyuanminzheng,2024-06-27
nll_loss_grad,xuanyuanminzheng,2024-06-27
nonzero,Aganlengzi,(Aganlengzi
norm,USTCKAY,2022-08-15
norm_grad,USTCKAY,2022-08-15
npu_identity,Qi Li,Li
one_hot,furnace,2022-06-07
one_hot_raw,furnace,2022-06-07
p_norm,USTCKAY,2022-08-16
p_norm_grad,USTCKAY,2022-08-16
pad,furnace,2022-06-07
pad3d,USTCKAY,2022-08-22
pad3d_grad,USTCKAY,2022-08-22
pad_grad,furnace,2022-06-07
pool2d,ronnywang,(ronnywang
pool2d_grad,Aganlengzi,2022-06-16
pow,furnace,2022-05-12
pow_grad,Aganlengzi,2022-06-23
prelu,Kai Song,Song
prelu_grad,Kai Song,Song
prior_box,USTCKAY,2022-09-02
prod,furnace,2022-05-25
prod_grad,Kai Song,Song
prod_infer,furnace,2022-05-25
randint,wangna11BD,2024-08-19
randperm,USTCKAY,2022-09-02
reciprocal,YuhangLi,2023-01-03
reciprocal_grad,Yunpeng Bai,Bai
relu,duanyanhui,2023-07-07
relu6,furnace,2022-05-12
relu6_grad,Aganlengzi,2022-07-13
relu_grad,Aganlengzi,(Aganlengzi
remainder,Aganlengzi,2022-07-13
remainder_raw,Aganlengzi,2022-07-13
rms_norm,ronnywang,2024-05-15
rmsprop,USTCKAY,2022-08-24
rnn,Kai Song,Song
rnn_grad,Kai Song,Song
roi_align,USTCKAY,2022-08-24
roi_align_grad,USTCKAY,2022-08-24
roll,Kai Song,Song
roll_grad,Kai Song,Song
round,Kai Song,Song
round_grad,Kai Song,Song
rsqrt,Kai Song,Song
rsqrt_grad,Kai Song,Song
scale,Aganlengzi,(Aganlengzi
scatter,USTCKAY,2022-08-24
scatter_grad,YuhangLi,2023-02-22
scatter_nd_add,Kai Song,Song
scatter_nd_add_grad,Kai Song,Song
selu,Kai Song,Song
selu_grad,Kai Song,Song
sequence_mask,TBD1,2023-07-27
set_value,Aganlengzi,2022-06-14
set_value_with_tensor,Kai Song,Song
sgd,ronnywang,(ronnywang
shard_index,Yunpeng Bai,Bai
sigmoid,Aganlengzi,2022-06-20
sigmoid_cross_entropy_with_logits,furnace,2022-05-25
sigmoid_cross_entropy_with_logits_grad,furnace,2022-05-25
sigmoid_grad,furnace,2022-05-12
sign,Kai Song,Song
silu,USTCKAY,2022-08-10
silu_grad,duanyanhui,2023-07-07
sin,furnace,2022-05-12
slice,ronnywang,(ronnywang
slice_array,duanyanhui,2022-12-06
slice_array_dense,duanyanhui,2022-12-06
slice_array_dense_grad,duanyanhui,2022-12-06
slice_array_grad,duanyanhui,2022-12-06
slice_grad,duanyanhui,2022-12-06
softmax,Aganlengzi,(Aganlengzi
softmax_grad,Aganlengzi,(Aganlengzi
softplus,Yunpeng Bai,Bai
softplus_grad,YuhangLi,2023-01-09
softshrink,YuhangLi,2023-01-09
softshrink_grad,YuhangLi,2023-01-09
split,ronnywang,2022-08-09
split_with_num,USTCKAY,2022-10-20
sqrt,furnace,2022-06-07
sqrt_grad,furnace,2022-06-07
square,furnace,2022-06-07
square_grad,furnace,2022-06-07
squared_l2_norm,Yunpeng Bai,Bai
squared_l2_norm_grad,Yunpeng Bai,Bai
squeeze,furnace,2022-06-07
squeeze_grad,Aganlengzi,2022-07-22
squeeze_with_xshape,furnace,2022-06-07
stack,furnace,2022-05-25
stack_grad,furnace,2022-05-25
strided_copy,Tongkai,2024-03-15
strided_slice,Leo Chen,Chen
strided_slice_array,duanyanhui,2022-12-08
strided_slice_array_grad,duanyanhui,2022-12-08
strided_slice_grad,Leo Chen,Chen
strided_slice_raw,USTCKAY,2022-09-01
strided_slice_raw_grad,USTCKAY,2022-09-01
subtract,furnace,2022-05-25
