concat_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/concat_kernel.cc,fwenguang,2022-09-16
contiguous,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/contiguous_kernel.cc,Tongkai,2024-03-15
conv2d,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/conv_kernel.cc,fwenguang,2022-09-16
conv2d_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/conv_kernel.cc,fwenguang,2022-09-16
conv2d_transpose,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/conv_transpose_kernel.cc,fwenguang,2022-09-16
conv2d_transpose_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/conv_transpose_kernel.cc,fwenguang,2022-09-16
conv3d,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/conv_kernel.cc,fwenguang,2022-09-16
conv3d_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/conv_kernel.cc,fwenguang,2022-09-16
cos,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/activation_kernel.cc,cifar10,2023-06-16
cos_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/activation_kernel.cc,cifar10,2023-06-16
cross_entropy_with_softmax,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/cross_entropy_kernel.cc,Lux et Veritas,2022-09-29
cross_entropy_with_softmax_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/cross_entropy_kernel.cc,Lux et Veritas,2022-09-29
cumsum,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/cumsum_kernel.cc,fwenguang,2022-09-16
deformable_conv,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/deformable_conv_kernel.cc,fwenguang,2022-09-16
deformable_conv_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/deformable_conv_kernel.cc,fwenguang,2022-09-16
depthwise_conv2d,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/conv_kernel.cc,fwenguang,2022-09-16
depthwise_conv2d_grad,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/conv_kernel.cc,fwenguang,2022-09-16
divide,https://github.com/PaddlePaddle/PaddleCustomDevice/backends/mlu/kernels/elementwise_div_kernel.cc,fwenguang,2022-09-07
