['flip', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/flip_kernel.cc', 'wz1qqx', '2023-08-10']
['full_with_tensor', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/full_kernel.cc', 'wanghuancoder', '2023-08-23']
['fused_attention', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/fused_attention_kernel.cc', 'Sonder', '2023-04-19']
['fused_attention_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/fused_attention_grad_kernel.cc', 'Sonder', '2023-04-19']
['group_norm_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/group_norm_grad_kernel.cc', 'ykkk2333', '2023-03-30']
['index_add', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/index_add_kernel.cc', 'zhouquan32', '2024-09-04']
['index_add_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/index_add_grad_kernel.cc', 'zhouquan32', '2024-09-04']
['index_put', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/index_put_kernel.cc', 'lijin23', '2023-08-22']
['index_put_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/index_put_grad_kernel.cc', 'lijin23', '2024-08-13']
['index_sample_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/index_sample_grad_kernel.cc', 'RuohengMa', '2023-05-15']
['inverse', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/inverse_kernel.cc', 'lijin23', '2023-08-22']
['lars_momentum', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/lars_momentum_kernel.cc', 'gouzil', '2023-09-05']
['load_combine', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/load_combine_kernel.cc', 'co63oc', '2024-10-23']
['load_combine_extended', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/load_combine_kernel.cc', 'co63oc', '2024-10-23']
['load_combine_vocab', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/load_combine_kernel.cc', 'co63oc', '2024-10-23']
['log_loss', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/log_loss_kernel.cc', 'co63oc', '2024-06-20']
['log_loss_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/log_loss_grad_kernel.cc', 'co63oc', '2024-06-20']
['logsumexp', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/logsumexp_kernel.cc', 'co63oc', '2024-06-13']
['logsumexp_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/logsumexp_grad_kernel.cc', 'enzodechine', '2024-08-22']
['matmul', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/matmul_kernel.cc', 'zyfncg', '2022-08-29']
['matmul_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/matmul_grad_kernel.cc', 'zyfncg', '2022-08-29']
['mean_raw', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/reduce_mean_kernel.cc', 'ykkk2333', '2022-09-14']
['merged_adam', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/adam_kernel.cc', 'HandSomeLEEw', '2023-11-20']
['min_raw', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/reduce_min_kernel.cc', 'Leo Guo', '2022-09-29']
['mp_allreduce_sum', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/mp_allreduce_sum_kernel.cc', 'co63oc', '2024-10-30']
['multiclass_nms3', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/multiclass_nms3_kernel.cc', 'leolishaohao', '2023-08-08']
['multinomial', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/multinomial_kernel.cc', 'houj04', '2024-06-25']
['nll_loss', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/nll_loss_kernel.cc', 'RuohengMa', '2023-05-23']
['nll_loss_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/nll_loss_grad_kernel.cc', 'RuohengMa', '2023-05-23']
['norm', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/norm_kernel.cc', 'leolishaohao', '2023-08-08']
['pad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/pad_kernel.cc', 'lijin23', '2023-05-11']
['pad_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/pad_grad_kernel.cc', 'lijin23', '2023-05-11']
['pow2_decay_with_linear_warmup', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/pow2_decay_with_linear_warmup_kernel.cc', 'huangjiyi', '2023-05-12']
['put_along_axis', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/put_along_axis_kernel.cc', 'enzodechine', '2024-09-05']
['quantize_xpu', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/quantization_kernel.cc', 'csy0225', '2023-10-26']
['reduce', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/reduce_kernel.cc', 'co63oc', '2024-08-21']
['repeat_interleave', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/repeat_interleave_kernel.cc', 'lijin23', '2024-07-26']
['repeat_interleave_with_tensor_index', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/repeat_interleave_kernel.cc', 'lijin23', '2024-07-26']
['rms_norm', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/rms_norm_kernel.cc', 'NeroLoh', '2024-05-23']
['rms_norm_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/rms_norm_grad_kernel.cc', 'Lucas', '2024-08-29']
['rsqrt', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/activation_kernel.cc', 'Lucas', '2024-08-28']
['rsqrt_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/activation_grad_kernel.cc', 'Lucas', '2024-08-28']
['save', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/save_kernel.cc', 'lujun', '2019-03-20']
['scatter_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/scatter_grad_kernel.cc', 'RuohengMa', '2023-05-09']
['scatter_nd_add_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/scatter_nd_add_grad_kernel.cc', 'lijin23', '2023-11-02']
['sequence_conv', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/sequence_conv_kernel.cc', 'co63oc', '2024-05-24']
['sequence_conv_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/sequence_conv_grad_kernel.cc', 'co63oc', '2024-05-24']
['set_value_with_scalar_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/set_value_grad_kernel.cc', 'JYChen', '2023-12-25']
['set_value_with_tensor', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/set_value_kernel.cc', 'Leo Guo', '2023-01-12']
['sgd_dense_param_sparse_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/sgd_kernel.cc', 'ykkk2333', '2022-09-02']
['split_with_num', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/split_kernel.cc', 'Lucas', '2023-10-26']
['squared_l2_norm', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/squared_l2_norm_kernel.cc', 'houj04', '2023-11-17']
['squared_l2_norm_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/squared_l2_norm_grad_kernel.cc', 'houj04', '2023-11-17']
['strided_copy', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/strided_copy_kernel.cc', 'wanghuancoder', '2023-07-31']
['strided_slice_raw', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/stride_slice_kernel.cc', 'ykkk2333', '2022-11-07']
['strided_slice_raw_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/stride_slice_grad_kernel.cc', 'ykkk2333', '2022-11-07']
['sum_raw', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/reduce_sum_kernel.cc', 'dongfangshenzhu', '2022-09-23']
['swiglu', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/swiglu_kernel.cc', 'haosicheng', '2024-05-08']
['swiglu_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/swiglu_kernel_grad.cc', 'haosicheng', '2024-05-08']
['sync_comm_stream', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/sync_comm_stream_kernel.cc', 'co63oc', '2024-09-27']
['take_along_axis', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/take_along_axis_kernel.cc', 'jiangfan06', '2023-08-14']
['top_p_sampling', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/top_p_sampling_kernel.cc', 'cmcamdy', '2024-09-23']
['tril', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/tril_triu_kernel.cc', 'houj04', '2023-12-01']
['tril_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/tril_triu_grad_kernel.cc', 'ykkk2333', '2022-09-01']
['triu', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/tril_triu_kernel.cc', 'houj04', '2023-12-01']
['triu_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/tril_triu_grad_kernel.cc', 'enzodechine', '2024-09-30']
['unique', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/unique_kernel.cc', 'lijin23', '2023-06-20']
['unique_raw', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/unique_kernel.cc', 'lijin23', '2023-06-20']
['yolo_box', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/yolo_box_kernel.cc', 'Jimmy', '2024-10-24']
