adam_dense_param_sparse_grad
add_act_xpu
add_layernorm_xpu
add_raw
addcmul_xpu
arg_min
as_strided
as_strided_grad
assign_array
assign_raw
assign_sr
batch_norm_infer
blha_get_max_len
block_multihead_attention_xpu
bn_act_xpu
c_broadcast
c_reduce_sum
c_sync_calc_stream
conv1d_xpu
conv2d_transpose_xpu
conv2d_xpu
cos_grad
cross_attention_xpu
diagonal_grad
divide_raw
elementwise_pow_raw
empty_like
equal_raw
fast_layernorm_xpu
fast_where_xpu
feed
flatten_grad
floor_divide_raw
full_sr
full_with_tensor_sr
fused_bias_act
fused_bias_residual_layernorm
fused_feedforward
fused_feedforward_grad
fused_gemm_epilogue
fused_gemm_epilogue_grad
fused_linear_param_grad_add
fused_multi_transformer_int8_xpu
fused_multi_transformer_xpu
fused_rotary_position_embedding
fused_rotary_position_embedding_grad
fused_softmax_mask
fused_softmax_mask_grad
greater_equal_raw
greater_than_raw
group_norm_silu_xpu
index_select_strided
index_select_strided_grad
layer_norm_act_xpu
layer_norm_relu_xpu
less_equal_raw
less_than_raw
mask_adaptive_xpu
max_raw
maximum_raw
memcpy
memcpy_d2h_multi_io
minimum_raw
multiply_raw
not_equal_raw
one_hot_raw
pad2d_xpu
print_kernel
prod_infer
qkv_attention_xpu
randint_with_seed
reduce_all
reduce_any
remainder_raw
reshape
reshape2_grad_grad
resnet_basic_block
resnet_basic_block_grad
resnet_unit
resnet_unit_grad
roformer_relative_embedding_xpu
sequence_unpad_xpu
shadow_feed
shadow_feed_tensors
shape64
shape64_sr
shape_sr
sin_grad
sine_pos_xpu
size
sparse_coo_tensor
spatial_transformer_resblock_xpu
split_strided
split_with_num_strided
squeeze_excitation_block
squeeze_with_xshape
subtract_raw
tensor_unfold
tensor_unfold_grad
top_k
uniform_random_inplace
uniform_random_inplace_grad
uniform_raw
uniform_raw_sr
uniform_sr
unsqueeze_with_xshape
variable_length_memory_efficient_attention
view_dtype
view_dtype_grad
view_shape
view_shape_grad
view_slice
weight_only_linear_xpu
yolo_box_xpu
