abs_coo
abs_coo_grad
abs_csr
abs_csr_grad
adam_dense_param_sparse_grad
adamw_dense_param_sparse_grad
add_coo_coo
add_coo_coo_grad
add_coo_dense
add_coo_dense_grad
add_n_sr
add_raw
addmm_coo_dense
addmm_coo_dense_grad
addmm_csr_dense
addmm_csr_dense_grad
all_raw
alltoall
amax_raw
amin_raw
anchor_generator
any_raw
array_pop
array_read
array_to_tensor
array_write
as_strided
as_strided_grad
asin_coo
asin_coo_grad
asin_csr
asin_csr_grad
asinh_coo
asinh_coo_grad
asinh_csr
asinh_csr_grad
assign_array
assign_raw
assign_sr
atan_coo
atan_coo_grad
atan_csr
atan_csr_grad
atanh_coo
atanh_coo_grad
atanh_csr
atanh_csr_grad
batch_norm_coo
batch_norm_coo_grad
batch_norm_infer
bitwise_left_shift
bitwise_right_shift
blha_get_max_len
block_multihead_attention
c_allgather
c_allreduce_avg
c_allreduce_max
c_allreduce_sum
c_broadcast
c_reduce_avg
c_reduce_max
c_reduce_min
c_reduce_prod
c_reduce_sum
c_sync_calc_stream
cast_coo
cast_coo_grad
cast_csr
cast_csr_grad
cast_grad
celu_grad_grad
clip_by_norm_sr
clip_sr
coalesce_coo
conv2d_transpose_grad_grad
conv3d_coo
conv3d_coo_grad
conv3d_grad_grad
conv3d_implicit_gemm
coo_to_csr
coo_to_dense
coo_to_dense_grad
copysign
create_array
create_array_like
csr_to_coo
csr_to_dense
data_norm
data_norm_grad
dense_to_coo
dense_to_csr
depthwise_conv2d_grad_grad
dgc_clip_by_norm_sr
distributed_fused_lamb_init
distributed_lookup_table
distributed_push_sparse
divide_raw
divide_scalar_coo
divide_scalar_csr
elementwise_add_grad_grad
elementwise_add_triple_grad
elementwise_div_grad_grad
elementwise_mul_grad_grad
elementwise_mul_triple_grad
elementwise_pow_raw
elementwise_sub_grad_grad
elu_grad_grad
empty_like
empty_like_coo
empty_like_csr
equal_raw
expm1_coo
expm1_coo_grad
expm1_csr
expm1_csr_grad
fake_channel_wise_quantize_dequantize_abs_max_grad
fake_quantize_dequantize_abs_max_grad
fake_quantize_dequantize_moving_average_abs_max_grad
fc
feed
flatten_grad
floor_divide_raw
fp8_fp8_half_gemm_fused
ftrl_sr
full_like_coo
full_like_csr
full_sr
full_with_tensor_sr
fused_attention_csr
fused_attention_csr_grad
fused_batch_norm_act
fused_batch_norm_act_grad
fused_bias_act
fused_bias_dropout_residual_layer_norm
fused_bias_dropout_residual_layer_norm_grad
fused_bias_residual_layernorm
fused_dropout_add
fused_dropout_add_grad
fused_elemwise_activation
fused_elemwise_activation_grad
fused_elemwise_add_activation
fused_elemwise_add_activation_grad
fused_embedding_eltwise_layernorm
fused_fc_elementwise_layernorm
fused_gate_attention
fused_gate_attention_grad
fused_gemm_epilogue
fused_gemm_epilogue_grad
fused_linear_param_grad_add
fused_rotary_position_embedding
fused_rotary_position_embedding_grad
fused_seqpool_cvm
fused_seqpool_cvm_grad
fused_softmax_mask
fused_softmax_mask_grad
fused_softmax_mask_upper_triangle
fused_softmax_mask_upper_triangle_grad
fusion_group
get_tensor_from_selected_rows
graph_send_recv
graph_send_recv_grad
graph_send_ue_recv
graph_send_ue_recv_grad
graph_send_uv
graph_send_uv_grad
greater_equal_raw
greater_than_raw
index_select_strided
index_select_strided_grad
indices_coo
isfinite_sr
isinf_sr
isnan_coo
isnan_csr
isnan_sr
lamb_sr
leaky_relu_coo
leaky_relu_coo_grad
leaky_relu_csr
leaky_relu_csr_grad
leaky_relu_grad_grad
less_equal_raw
less_than_raw
load_sr
log1p_coo
log1p_coo_grad
log1p_csr
log1p_csr_grad
log_grad_grad
lookup_table_grad_sr
lookup_table_sparse_grad_sr
lookup_table_sr
mask_as_coo
mask_as_coo_grad
mask_as_csr
mask_as_csr_grad
mask_helper_coo
masked_matmul_csr
masked_matmul_csr_grad
masked_multihead_attention
matmul_coo_coo
matmul_coo_coo_grad
matmul_coo_dense
matmul_coo_dense_grad
matmul_csr_csr
matmul_csr_csr_grad
matmul_csr_dense
matmul_csr_dense_grad
matmul_v2_grad_grad
matmul_v2_triple_grad
max_raw
maximum_raw
maxpool_coo
maxpool_coo_grad
mean_raw
memcpy_d2h_multi_io
min_raw
minimum_raw
multihead_matmul
multiply_raw
multiply_raw_sr
multiply_sr
mv_coo
mv_coo_grad
mv_csr
mv_csr_grad
not_equal_raw
one_hot_raw
pow_coo
pow_coo_grad
pow_csr
pow_csr_grad
print_kernel
prod_infer
pull_gpups_sparse
push_gpups_sparse
qkv_unpack_mha
randint_with_seed
recv_v2
relu6_coo
relu6_coo_grad
relu6_csr
relu6_csr_grad
relu_coo
relu_coo_grad
relu_csr
relu_csr_grad
relu_grad_grad
remainder_raw
reshape
